Fecha,Mercador,Pagador,Super Mercado,Barrio,Factura,Solo Brando,Solo Vane,Brando Paga Vane,Vane Paga Brando,Brando Suprise,burtbees,papel higenico,Cauzela,Cereal,Leche,Jugo,Higos,Mango,Kiwi,Pitahaya,papaya,Fresa,Piña,mixta,Galupa,Arandano,Uchuva,Pera nacional,Pera Verde,Manzana Granny,Manzana Royal,Manzana Mixta,Ciruela,Nectarin,Durazno,Plantano,Banano,Mandarina,Limon,Guanabana,Granadilla,Fruta,broccoli,esparragos,aguacate,vegetalesMixta,Habicuela,Champinon,Zanahoria,Tomate,TomateArbol,white onion,red onion,Pimentos,Brocoli,Berenjena,Calabacin,aguacate injert,aguacate hass,Ajo,Papa,Ensalada,Verdura,carne precessada,carne molida,vaca,pollo,tocino,cerdo,camaron,pescado,huevos,Carne,aveva,arroz,lentejas,frijoles,garbazos,Arepa,pasta,pasta sauce,Quesito,Cafe,TÉ,Cerveza,Papel HIgenico,Mercato,Cosa por el baño,Pastilla,Para la Casa,Bosas Plasticas,IVA,Factura Compartido   Con Amor
22-Mar-06,Brando,Brando,Jumbo,Envigado,273562.00,24390.00,0.00,,,76581.00,,,,,24390.00,,,,,,,,,,,22990.00,,,,,,,8103.00,,,,1813.00,,,,9968.00,42874.00,,,,,,6990.00,882.00,4455.00,,4101.00,,1281.00,,,2009.00,,,,,,19718.00,,,,,,,,,,43890.00,,,,,,41760.00,,,18380.00,14390.00,,,,,,,,,,249172.00
22-Mar-11,Vane,Vane,Jumbo,Envigado,144286.00,0.00,0.00,,,,,,45130.00,7790.00,,,,5541.00,,,,,,,,,,,,,,,,,3990.00,,2663.00,,,,,12194.00,,,,12390.00,,,,3229.00,,,,976.00,,,,,,,,,16595.00,,,,,,,,,,32344.00,,,,,,,,,,,25390.00,,,24270.00,,,,,,144286.00
22-Mar-15,Brando,Brando,Jumbo,Envigado,181162.00,24390.00,0.00,,,,,,,12990.00,24390.00,,1576.00,,2985.00,,,,,,,22990.00,,,2877.00,,,,,5814.00,1853.00,,3150.00,,,,11205.00,52450.00,,,,,,,,4694.00,,2316.00,,,,,,,,,,,7010.00,,,,,,,,,,,,,,,,33570.00,,,9190.00,28780.00,,,,,,,,,,156772.00
22-Mar-19,Vane,Vane,Jumbo,Envigado,101432.00,0.00,0.00,,,,,,51852.00,,,,,,,,,7990.00,,,,,,,,,,,,,,,2525.00,,,,,10515.00,,,,,,6990.00,2768.00,2013.00,,,,1756.00,,,,,,,13900.00,,27427.00,,,,,,,,,,,,,,,,,,,,,,,,27560.00,,,,,,101432.00
22-Mar-20,Vane,Vane,Jumbo,Envigado,147490.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,22990.00,,,,,147490.00
22-Mar-21,Brando,Brando,Jumbo,Envigado,145070.00,24590.00,0.00,,,,,,,28980.00,24590.00,,,,,,,,,,,22990.00,4890.00,,,7899.00,,,,,,,,,,,4005.00,39784.00,,,,,,,,2227.00,,1239.00,,,,,,,,,,,3466.00,,,,,,,,,,,,,,,,29070.00,,,9190.00,,,,,,,,,,,120480.00
22-Mar-23,Brando,Brando,Jumbo,Envigado,114365.00,8980.00,,,,60425.00,,,,,8980.00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,2133.00,,738.00,1769.00,,,1454.00,,,,1755.00,,,,,,7849.00,,,,,,,,,,27606.00,,,,,,8590.00,,,,28780.00,,,,7590.00,,,,,,105385.00
22-Mar-26,los_dos,Brando,SuperSabaneta,Sabaneta,41778.00,0.00,0.00,,,,,,,,,,,2050.00,3383.00,,,,,,,,,,,2400.00,2100.00,,,,2045.00,,,,,,12145.00,24123.00,,,,,,,,,1771.00,,,,,,,,,,2231.00,,4002.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.00,,41778.00
22-Mar-27,Vane,Vane,Jumbo,Envigado,95225.00,0.00,0.00,,,,,,,,,,,2828.00,,,,,,,,,,,,,,,,,,,,,,,,2828.00,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,24760.00,,,9590.00,,,,,7280.00,14990.00,,6990.00,6990.00,,95225.00
22-Mar-29,Brando,Brando,Jumbo,Envigado,100436.00,33570.00,0.00,,,,,,,12990.00,33570.00,,,,,,,,,,,22990.00,,4655.00,,,5033.00,,4928.00,,,,2350.00,,,,,39956.00,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,14390.00,,,,,,,,,,66866.00
